Unnamed: 0,names,rates,director,actors
36,Modern Family,8.4,,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell"
37,Lovecraft Country,,,"Abbey Lee, Chase Brown, Aunjanue Ellis, Marcus A. Griffin Jr."
38,Knives Out,7.9,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis"
39,Deep Blue Sea 3,4.6,John Pogue,"Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster"
40,Euphoria,8.3,,"Zendaya, Maude Apatow, Angus Cloud, Eric Dane"
41,Friends,8.9,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
42,Tenet,,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki, Aaron Taylor-Johnson"
43,Stranger Things,8.8,,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"
44,The Alienist,7.7,,"Daniel Brühl, Dakota Fanning, Luke Evans, Robert Wisdom"
45,Peaky Blinders,8.8,,"Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle"
46,Warrior Nun,6.9,,"Alba Baptista, Toya Turner, Kristina Tonteri-Young, Lorena Andrea"
47,Glee,6.7,,"Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith"
48,Kaze to tomo ni sarinu,8.1,,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil"
49,Sons of Anarchy,8.6,,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates"
50,Suits,8.5,,"Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty"
51,La Casa de Papel,8.4,,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso"
52,In the Dark,7.4,,"Perry Mattfeld, Rich Sommer, Brooke Markham, Morgan Krantz"
53,Brave New World,7.0,,"Alden Ehrenreich, Jessica Brown Findlay, Harry Lloyd, Nina Sosanya"
54,Doom Patrol,8.0,,"Diane Guerrero, April Bowlby, Matt Bomer, Brendan Fraser"
